iter	Passed	Remaining
0	18	18272
1	30	15417
2	43	14429
3	55	13933
4	68	13562
5	80	13384
6	93	13246
7	105	13136
8	118	13054
9	130	12952
10	143	12860
11	155	12784
12	167	12720
13	179	12664
14	192	12631
15	204	12600
16	217	12556
17	229	12533
18	241	12494
19	254	12457
20	266	12444
21	279	12409
22	291	12395
23	304	12376
24	316	12356
25	329	12340
26	341	12321
27	354	12303
28	366	12287
29	379	12275
30	391	12249
31	404	12224
32	416	12208
33	428	12187
34	441	12163
35	453	12139
36	465	12114
37	478	12104
38	490	12089
39	503	12078
40	515	12056
41	527	12040
42	540	12027
43	552	12014
44	565	11992
45	577	11971
46	589	11962
47	602	11941
48	614	11927
49	626	11911
50	639	11892
51	651	11882
52	664	11869
53	676	11855
54	689	11841
55	703	11862
56	716	11848
57	729	11849
58	742	11838
59	754	11819
60	766	11800
61	779	11785
62	791	11767
63	803	11756
64	816	11743
65	829	11731
66	841	11713
67	853	11700
68	865	11682
69	878	11672
70	891	11660
71	903	11649
72	915	11631
73	927	11608
74	939	11590
75	952	11580
76	964	11563
77	976	11546
78	988	11529
79	1001	11512
80	1013	11495
81	1025	11477
82	1037	11460
83	1049	11449
84	1061	11429
85	1074	11418
86	1086	11402
87	1099	11389
88	1111	11376
89	1124	11367
90	1136	11351
91	1148	11338
92	1161	11323
93	1173	11314
94	1186	11301
95	1198	11288
96	1210	11272
97	1223	11257
98	1235	11242
99	1247	11228
100	1259	11213
101	1272	11203
102	1284	11190
103	1296	11173
104	1309	11161
105	1321	11146
106	1333	11131
107	1346	11116
108	1358	11105
109	1370	11090
110	1382	11076
111	1395	11063
112	1407	11051
113	1421	11047
114	1433	11033
115	1446	11022
116	1458	11008
117	1471	10997
118	1483	10984
119	1495	10970
120	1508	10957
121	1520	10943
122	1533	10930
123	1544	10913
124	1557	10899
125	1569	10886
126	1581	10872
127	1594	10860
128	1607	10856
129	1620	10842
130	1632	10830
131	1645	10818
132	1657	10808
133	1670	10795
134	1682	10781
135	1694	10767
136	1710	10771
137	1722	10759
138	1734	10745
139	1746	10731
140	1759	10720
141	1772	10707
142	1784	10695
143	1796	10681
144	1811	10679
145	1823	10664
146	1835	10653
147	1848	10639
148	1860	10627
149	1872	10613
150	1886	10604
151	1898	10590
152	1911	10579
153	1923	10568
154	1936	10554
155	1948	10542
156	1960	10528
157	1972	10514
158	1985	10501
159	1998	10490
160	2011	10484
161	2024	10470
162	2036	10456
163	2048	10442
164	2060	10427
165	2072	10413
166	2084	10399
167	2097	10387
168	2109	10375
169	2122	10361
170	2136	10356
171	2148	10342
172	2161	10331
173	2173	10317
174	2185	10303
175	2197	10289
176	2209	10275
177	2222	10261
178	2234	10246
179	2245	10231
180	2260	10227
181	2272	10213
182	2285	10201
183	2297	10187
184	2309	10175
185	2322	10163
186	2336	10158
187	2348	10145
188	2361	10133
189	2373	10118
190	2386	10106
191	2398	10095
192	2411	10081
193	2423	10068
